alerta_id,codigo_alerta,severidad,etapa,entidad_tipo,entidad_id,dataset_origen,descripcion,evidencia,accion_recomendada,score
DET-PAD-01-000001,PAD-01,critica,Padrón y elegibilidad,voter_id,V000045,01_padron_votantes.csv,Persona fallecida aparece con voto registrado,condicion_legal=fallecido; voto_registrado=1,Verificar acta de defunción y trazabilidad del check-in.,3
DET-PAD-01-000002,PAD-01,critica,Padrón y elegibilidad,voter_id,V000054,01_padron_votantes.csv,Persona fallecida aparece con voto registrado,condicion_legal=fallecido; voto_registrado=1,Verificar acta de defunción y trazabilidad del check-in.,3
DET-PAD-01-000003,PAD-01,critica,Padrón y elegibilidad,voter_id,V000190,01_padron_votantes.csv,Persona fallecida aparece con voto registrado,condicion_legal=fallecido; voto_registrado=1,Verificar acta de defunción y trazabilidad del check-in.,3
DET-PAD-01-000004,PAD-01,critica,Padrón y elegibilidad,voter_id,V000481,01_padron_votantes.csv,Persona fallecida aparece con voto registrado,condicion_legal=fallecido; voto_registrado=1,Verificar acta de defunción y trazabilidad del check-in.,3
DET-PAD-01-000005,PAD-01,critica,Padrón y elegibilidad,voter_id,V000502,01_padron_votantes.csv,Persona fallecida aparece con voto registrado,condicion_legal=fallecido; voto_registrado=1,Verificar acta de defunción y trazabilidad del check-in.,3
DET-PAD-01-000006,PAD-01,critica,Padrón y elegibilidad,voter_id,V000647,01_padron_votantes.csv,Persona fallecida aparece con voto registrado,condicion_legal=fallecido; voto_registrado=1,Verificar acta de defunción y trazabilidad del check-in.,3
DET-PAD-01-000007,PAD-01,critica,Padrón y elegibilidad,voter_id,V000720,01_padron_votantes.csv,Persona fallecida aparece con voto registrado,condicion_legal=fallecido; voto_registrado=1,Verificar acta de defunción y trazabilidad del check-in.,3
DET-PAD-01-000008,PAD-01,critica,Padrón y elegibilidad,voter_id,V000784,01_padron_votantes.csv,Persona fallecida aparece con voto registrado,condicion_legal=fallecido; voto_registrado=1,Verificar acta de defunción y trazabilidad del check-in.,3
DET-PAD-01-000009,PAD-01,critica,Padrón y elegibilidad,voter_id,V001163,01_padron_votantes.csv,Persona fallecida aparece con voto registrado,condicion_legal=fallecido; voto_registrado=1,Verificar acta de defunción y trazabilidad del check-in.,3
DET-PAD-01-000010,PAD-01,critica,Padrón y elegibilidad,voter_id,V001167,01_padron_votantes.csv,Persona fallecida aparece con voto registrado,condicion_legal=fallecido; voto_registrado=1,Verificar acta de defunción y trazabilidad del check-in.,3
DET-PAD-01-000011,PAD-01,critica,Padrón y elegibilidad,voter_id,V001390,01_padron_votantes.csv,Persona fallecida aparece con voto registrado,condicion_legal=fallecido; voto_registrado=1,Verificar acta de defunción y trazabilidad del check-in.,3
DET-PAD-01-000012,PAD-01,critica,Padrón y elegibilidad,voter_id,V001497,01_padron_votantes.csv,Persona fallecida aparece con voto registrado,condicion_legal=fallecido; voto_registrado=1,Verificar acta de defunción y trazabilidad del check-in.,3
DET-PAD-01-000013,PAD-01,critica,Padrón y elegibilidad,voter_id,V001650,01_padron_votantes.csv,Persona fallecida aparece con voto registrado,condicion_legal=fallecido; voto_registrado=1,Verificar acta de defunción y trazabilidad del check-in.,3
DET-PAD-01-000014,PAD-01,critica,Padrón y elegibilidad,voter_id,V001658,01_padron_votantes.csv,Persona fallecida aparece con voto registrado,condicion_legal=fallecido; voto_registrado=1,Verificar acta de defunción y trazabilidad del check-in.,3
DET-PAD-01-000015,PAD-01,critica,Padrón y elegibilidad,voter_id,V001721,01_padron_votantes.csv,Persona fallecida aparece con voto registrado,condicion_legal=fallecido; voto_registrado=1,Verificar acta de defunción y trazabilidad del check-in.,3
