entidad_tipo,entidad_id,score_total,total_alertas,max_severidad,clasificacion_riesgo
usuario_id,USR-0041,19,10,alta,Revisión prioritaria
voter_id,V001825,11,4,critica,Riesgo alto
voter_id,V003871,11,4,critica,Riesgo alto
mesa_id,MESA-001,8,4,critica,Riesgo alto
mesa_id,MESA-031,8,4,critica,Riesgo alto
archivo_id,ARC-000068,8,3,critica,Riesgo alto
voter_id,V000876,8,3,critica,Riesgo alto
voter_id,V001865,8,3,critica,Riesgo alto
voter_id,V001965,8,3,critica,Riesgo alto
voter_id,V002133,8,3,critica,Riesgo alto
mesa_id,MESA-019,7,3,critica,Riesgo medio
mesa_id,MESA-032,7,3,critica,Riesgo medio
voter_id,V000463,7,3,critica,Riesgo medio
voter_id,V000661,7,3,critica,Riesgo medio
voter_id,V001485,7,3,critica,Riesgo medio
voter_id,V004319,7,3,critica,Riesgo medio
evento_id,EVT-0000083,6,2,critica,Riesgo medio
evento_id,EVT-0000106,6,2,critica,Riesgo medio
evento_id,EVT-0000176,6,2,critica,Riesgo medio
evento_id,EVT-0000182,6,2,critica,Riesgo medio
evento_id,EVT-0000256,6,2,critica,Riesgo medio
evento_id,EVT-0000287,6,2,critica,Riesgo medio
evento_id,EVT-0000301,6,2,critica,Riesgo medio
evento_id,EVT-0000343,6,2,critica,Riesgo medio
evento_id,EVT-0000366,6,2,critica,Riesgo medio
evento_id,EVT-0000378,6,2,critica,Riesgo medio
evento_id,EVT-0000388,6,2,critica,Riesgo medio
evento_id,EVT-0000395,6,2,critica,Riesgo medio
evento_id,EVT-0000416,6,2,critica,Riesgo medio
evento_id,EVT-0000423,6,2,critica,Riesgo medio
evento_id,EVT-0000438,6,2,critica,Riesgo medio
evento_id,EVT-0000439,6,2,critica,Riesgo medio
evento_id,EVT-0000453,6,2,critica,Riesgo medio
evento_id,EVT-0000465,6,2,critica,Riesgo medio
evento_id,EVT-0000492,6,2,critica,Riesgo medio
evento_id,EVT-0000539,6,2,critica,Riesgo medio
evento_id,EVT-0000596,6,2,critica,Riesgo medio
evento_id,EVT-0000616,6,2,critica,Riesgo medio
evento_id,EVT-0000704,6,2,critica,Riesgo medio
evento_id,EVT-0000709,6,2,critica,Riesgo medio
evento_id,EVT-0000913,6,2,critica,Riesgo medio
evento_id,EVT-0000967,6,2,critica,Riesgo medio
evento_id,EVT-0001052,6,2,critica,Riesgo medio
evento_id,EVT-0001095,6,2,critica,Riesgo medio
evento_id,EVT-0001145,6,2,critica,Riesgo medio
evento_id,EVT-0001153,6,2,critica,Riesgo medio
evento_id,EVT-0001180,6,2,critica,Riesgo medio
evento_id,EVT-0001194,6,2,critica,Riesgo medio
evento_id,EVT-0001206,6,2,critica,Riesgo medio
evento_id,EVT-0001207,6,2,critica,Riesgo medio
evento_id,EVT-0001209,6,2,critica,Riesgo medio
evento_id,EVT-0001235,6,2,critica,Riesgo medio
evento_id,EVT-0001245,6,2,critica,Riesgo medio
evento_id,EVT-0001253,6,2,critica,Riesgo medio
evento_id,EVT-0001269,6,2,critica,Riesgo medio
evento_id,EVT-0001277,6,2,critica,Riesgo medio
