voter_id,mesa_asignada,puesto_asignado,zona_asignada,municipio_asignado,circunscripcion_autorizada,tipo_boleta_autorizada,puede_votar_en_otro_puesto,justificacion_excepcion
V000001,MESA-026,PUESTO-001,ZONA-01,MUN-01,CIRC-01,especial,0,
V000002,MESA-025,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000003,MESA-065,PUESTO-015,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000004,MESA-006,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000005,MESA-023,PUESTO-023,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000006,MESA-064,PUESTO-014,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000007,MESA-043,PUESTO-018,ZONA-08,MUN-03,CIRC-03,municipal,0,
V000008,MESA-023,PUESTO-023,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000009,MESA-030,PUESTO-005,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000010,MESA-077,PUESTO-002,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000011,MESA-018,PUESTO-018,ZONA-08,MUN-03,CIRC-03,municipal,0,
V000012,MESA-079,PUESTO-004,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000013,MESA-021,PUESTO-021,ZONA-01,MUN-01,CIRC-01,especial,0,
V000014,MESA-057,PUESTO-007,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000015,MESA-023,PUESTO-023,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000016,MESA-045,PUESTO-020,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000017,MESA-044,PUESTO-019,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000018,MESA-047,PUESTO-022,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000019,MESA-040,PUESTO-015,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000020,MESA-051,PUESTO-001,ZONA-01,MUN-01,CIRC-01,especial,0,
V000021,MESA-042,PUESTO-017,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000022,MESA-007,PUESTO-007,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000023,MESA-050,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000024,MESA-048,PUESTO-023,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000025,MESA-006,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000026,MESA-009,PUESTO-009,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000027,MESA-057,PUESTO-007,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000028,MESA-031,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000029,MESA-021,PUESTO-021,ZONA-01,MUN-01,CIRC-01,especial,0,
V000030,MESA-040,PUESTO-015,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000031,MESA-045,PUESTO-020,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000032,MESA-077,PUESTO-002,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000033,MESA-049,PUESTO-024,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000034,MESA-020,PUESTO-020,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000035,MESA-017,PUESTO-017,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000036,MESA-028,PUESTO-003,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000037,MESA-041,PUESTO-016,ZONA-06,MUN-01,CIRC-01,especial,0,
V000038,MESA-066,PUESTO-016,ZONA-06,MUN-01,CIRC-01,especial,0,
V000039,MESA-025,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000040,MESA-009,PUESTO-009,ZONA-09,MUN-04,CIRC-03,municipal,0,inconsistencia_simulada_mesa
V000041,MESA-041,PUESTO-016,ZONA-06,MUN-01,CIRC-01,especial,0,
V000042,MESA-006,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000043,MESA-075,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000044,MESA-038,PUESTO-013,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000045,MESA-006,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000046,MESA-045,PUESTO-020,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000047,MESA-075,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000048,MESA-014,PUESTO-014,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000049,MESA-066,PUESTO-016,ZONA-06,MUN-01,CIRC-01,especial,0,
V000050,MESA-040,PUESTO-015,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000051,MESA-003,PUESTO-003,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000052,MESA-024,PUESTO-024,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000053,MESA-019,PUESTO-019,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000054,MESA-018,PUESTO-018,ZONA-08,MUN-03,CIRC-03,municipal,0,
V000055,MESA-064,PUESTO-014,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000056,MESA-035,PUESTO-010,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000057,MESA-062,PUESTO-012,ZONA-02,MUN-02,CIRC-02,especial,0,
V000058,MESA-001,PUESTO-001,ZONA-01,MUN-01,CIRC-01,especial,0,
V000059,MESA-025,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000060,MESA-045,PUESTO-020,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000061,MESA-049,PUESTO-024,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000062,MESA-016,PUESTO-016,ZONA-06,MUN-01,CIRC-01,especial,0,
V000063,MESA-019,PUESTO-019,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000064,MESA-023,PUESTO-023,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000065,MESA-025,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000066,MESA-016,PUESTO-016,ZONA-06,MUN-01,CIRC-01,especial,0,
V000067,MESA-054,PUESTO-004,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000068,MESA-073,PUESTO-023,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000069,MESA-001,PUESTO-001,ZONA-01,MUN-01,CIRC-01,especial,0,
V000070,MESA-042,PUESTO-017,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000071,MESA-019,PUESTO-019,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000072,MESA-034,PUESTO-009,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000073,MESA-080,PUESTO-005,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000074,MESA-055,PUESTO-005,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000075,MESA-018,PUESTO-018,ZONA-08,MUN-03,CIRC-03,municipal,0,
V000076,MESA-034,PUESTO-009,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000077,MESA-045,PUESTO-020,ZONA-10,MUN-05,CIRC-05,especial,0,
V000078,MESA-006,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000079,MESA-021,PUESTO-021,ZONA-01,MUN-01,CIRC-01,especial,0,
V000080,MESA-070,PUESTO-020,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000081,MESA-048,PUESTO-023,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000082,MESA-039,PUESTO-014,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000083,MESA-031,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000084,MESA-010,PUESTO-010,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000085,MESA-030,PUESTO-005,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000086,MESA-018,PUESTO-018,ZONA-08,MUN-03,CIRC-03,municipal,0,
V000087,MESA-060,PUESTO-010,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000088,MESA-012,PUESTO-012,ZONA-02,MUN-02,CIRC-03,municipal,0,inconsistencia_simulada_mesa
V000089,MESA-025,PUESTO-025,ZONA-05,MUN-05,CIRC-05,municipal,0,inconsistencia_simulada_mesa
V000090,MESA-004,PUESTO-004,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000091,MESA-063,PUESTO-013,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000092,MESA-040,PUESTO-015,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000093,MESA-009,PUESTO-009,ZONA-09,MUN-04,CIRC-03,nacional,0,
V000094,MESA-005,PUESTO-005,ZONA-05,MUN-05,CIRC-04,nacional,0,inconsistencia_simulada_mesa
V000095,MESA-026,PUESTO-001,ZONA-01,MUN-01,CIRC-01,especial,0,
V000096,MESA-004,PUESTO-004,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000097,MESA-016,PUESTO-016,ZONA-06,MUN-01,CIRC-01,especial,0,
V000098,MESA-015,PUESTO-015,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000099,MESA-052,PUESTO-002,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000100,MESA-069,PUESTO-019,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000101,MESA-005,PUESTO-005,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000102,MESA-020,PUESTO-020,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000103,MESA-079,PUESTO-004,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000104,MESA-018,PUESTO-018,ZONA-08,MUN-03,CIRC-03,municipal,0,
V000105,MESA-002,PUESTO-002,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000106,MESA-013,PUESTO-013,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000107,MESA-004,PUESTO-004,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000108,MESA-042,PUESTO-017,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000109,MESA-074,PUESTO-024,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000110,MESA-061,PUESTO-011,ZONA-01,MUN-01,CIRC-05,especial,0,
V000111,MESA-008,PUESTO-008,ZONA-08,MUN-03,CIRC-03,municipal,0,
V000112,MESA-067,PUESTO-017,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000113,MESA-063,PUESTO-013,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000114,MESA-009,PUESTO-009,ZONA-09,MUN-04,CIRC-04,nacional,0,
V000115,MESA-011,PUESTO-011,ZONA-01,MUN-01,CIRC-01,especial,0,
V000116,MESA-042,PUESTO-017,ZONA-07,MUN-02,CIRC-02,nacional,0,
V000117,MESA-013,PUESTO-013,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000118,MESA-036,PUESTO-011,ZONA-01,MUN-01,CIRC-01,especial,0,
V000119,MESA-013,PUESTO-013,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000120,MESA-012,PUESTO-012,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000121,MESA-037,PUESTO-012,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000122,MESA-074,PUESTO-024,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000123,MESA-073,PUESTO-023,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000124,MESA-052,PUESTO-002,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000125,MESA-071,PUESTO-021,ZONA-01,MUN-01,CIRC-01,especial,0,
V000126,MESA-002,PUESTO-002,ZONA-02,MUN-02,CIRC-02,nacional,0,
V000127,MESA-056,PUESTO-006,ZONA-06,MUN-01,CIRC-01,especial,0,
V000128,MESA-060,PUESTO-010,ZONA-10,MUN-05,CIRC-05,municipal,0,
V000129,MESA-023,PUESTO-023,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000130,MESA-040,PUESTO-015,ZONA-05,MUN-05,CIRC-05,municipal,0,
V000131,MESA-064,PUESTO-014,ZONA-04,MUN-04,CIRC-04,nacional,0,
V000132,MESA-023,PUESTO-023,ZONA-03,MUN-03,CIRC-03,municipal,0,
V000133,MESA-029,PUESTO-004,ZONA-04,MUN-04,CIRC-04,nacional,0,
