suffrage_id,voter_id,fecha_eleccion,voto_registrado,mesa_voto,puesto_voto,zona_voto,municipio_voto,circunscripcion_voto,hora_checkin,metodo_checkin,operador_checkin
SUF-0000001,V001127,2026-06-03,1,MESA-018,PUESTO-018,ZONA-08,MUN-03,CIRC-03,08:30:06,electronico,USR-0022
SUF-0000002,V004819,2026-06-03,1,MESA-005,PUESTO-005,ZONA-05,MUN-05,CIRC-05,15:16:54,electronico,USR-0024
SUF-0000003,V002803,2026-06-03,1,MESA-045,PUESTO-020,ZONA-10,MUN-05,CIRC-05,13:45:37,electronico,USR-0023
SUF-0000004,V002313,2026-06-03,1,MESA-069,PUESTO-019,ZONA-09,MUN-04,CIRC-04,10:09:21,electronico,USR-0007
SUF-0000005,V001106,2026-06-03,1,MESA-017,PUESTO-017,ZONA-07,MUN-02,CIRC-02,14:26:30,electronico,USR-0003
SUF-0000006,V001995,2026-06-03,1,MESA-017,PUESTO-017,ZONA-07,MUN-02,CIRC-02,14:11:05,manual,USR-0025
SUF-0000007,V001157,2026-06-03,1,MESA-027,PUESTO-002,ZONA-02,MUN-02,CIRC-02,13:23:12,electronico,USR-0019
SUF-0000008,V000278,2026-06-03,1,MESA-022,PUESTO-022,ZONA-02,MUN-02,CIRC-02,10:12:14,electronico,USR-0015
SUF-0000009,V000714,2026-06-03,1,MESA-042,PUESTO-017,ZONA-07,MUN-02,CIRC-02,10:16:48,electronico,USR-0010
SUF-0000010,V002444,2026-06-03,1,MESA-023,PUESTO-023,ZONA-03,MUN-03,CIRC-03,12:58:34,electronico,USR-0021
SUF-0000011,V003924,2026-06-03,1,MESA-080,PUESTO-005,ZONA-05,MUN-05,CIRC-05,12:39:22,electronico,USR-0015
SUF-0000012,V002548,2026-06-03,1,MESA-031,PUESTO-006,ZONA-06,MUN-01,CIRC-01,09:11:42,electronico,USR-0010
