ballot_id,mesa_id,voter_id,marca_simulada,clasificacion_objetiva,clasificacion_jurado,clasificacion_auditoria,usuario_clasificador
BAL-0000001,MESA-018,V001127,candidato_C,valido,valido,valido,USR-0033
BAL-0000002,MESA-005,V004819,candidato_B,valido,valido,valido,USR-0032
BAL-0000003,MESA-045,V002803,candidato_B,valido,valido,valido,USR-0035
BAL-0000004,MESA-069,V002313,candidato_B,valido,valido,valido,USR-0030
BAL-0000005,MESA-017,V001106,candidato_B,valido,valido,valido,USR-0033
BAL-0000006,MESA-017,V001995,candidato_B,valido,valido,valido,USR-0032
BAL-0000007,MESA-027,V001157,candidato_C,valido,valido,valido,USR-0028
BAL-0000008,MESA-022,V000278,candidato_C,valido,valido,valido,USR-0032
BAL-0000009,MESA-042,V000714,candidato_B,valido,invalido,valido,USR-0030
BAL-0000010,MESA-023,V002444,marca_ambigua,nulo,nulo,nulo,USR-0033
BAL-0000011,MESA-080,V003924,candidato_B,valido,valido,valido,USR-0032
BAL-0000012,MESA-031,V002548,candidato_A,valido,valido,valido,USR-0029
BAL-0000013,MESA-080,V003951,candidato_A,valido,valido,valido,USR-0028
BAL-0000014,MESA-049,V000586,candidato_C,valido,valido,valido,USR-0034
BAL-0000015,MESA-074,V004772,candidato_A,valido,valido,valido,USR-0034
BAL-0000016,MESA-050,V000023,candidato_A,valido,valido,valido,USR-0034
BAL-0000017,MESA-079,V000103,candidato_B,valido,valido,valido,USR-0032
BAL-0000018,MESA-001,V000711,candidato_A,valido,valido,valido,USR-0035
BAL-0000019,MESA-070,V001802,candidato_A,valido,invalido,valido,USR-0032
BAL-0000020,MESA-022,V002954,blanco,blanco,blanco,blanco,USR-0034
BAL-0000021,MESA-009,V002863,candidato_A,valido,valido,valido,USR-0032
BAL-0000022,MESA-037,V001913,candidato_B,valido,valido,valido,USR-0028
BAL-0000023,MESA-024,V004364,candidato_A,valido,valido,valido,USR-0033
BAL-0000024,MESA-056,V003549,candidato_B,valido,valido,valido,USR-0033
BAL-0000025,MESA-007,V004283,candidato_A,valido,valido,valido,USR-0028
BAL-0000026,MESA-019,V004357,candidato_B,valido,valido,valido,USR-0028
BAL-0000027,MESA-028,V004653,candidato_C,valido,valido,valido,USR-0035
BAL-0000028,MESA-079,V001206,candidato_C,valido,valido,valido,USR-0030
BAL-0000029,MESA-019,V000718,candidato_A,valido,valido,valido,USR-0033
BAL-0000030,MESA-063,V000523,candidato_A,valido,valido,valido,USR-0034
BAL-0000031,MESA-052,V004306,candidato_A,valido,valido,valido,USR-0035
BAL-0000032,MESA-071,V002527,candidato_B,valido,valido,valido,USR-0030
BAL-0000033,MESA-065,V001524,candidato_A,valido,valido,valido,USR-0028
BAL-0000034,MESA-043,V004639,candidato_A,valido,valido,valido,USR-0029
BAL-0000035,MESA-014,V003276,candidato_C,valido,valido,valido,USR-0033
BAL-0000036,MESA-054,V000067,candidato_A,valido,valido,valido,USR-0031
BAL-0000037,MESA-015,V004315,candidato_B,valido,valido,valido,USR-0032
BAL-0000038,MESA-011,V001294,candidato_B,valido,valido,valido,USR-0035
BAL-0000039,MESA-069,V003825,candidato_B,valido,valido,valido,USR-0034
BAL-0000040,MESA-012,V003271,candidato_C,valido,valido,valido,USR-0034
BAL-0000041,MESA-060,V002418,candidato_B,valido,valido,valido,USR-0028
BAL-0000042,MESA-020,V002828,candidato_A,valido,valido,valido,USR-0033
BAL-0000043,MESA-063,V001392,candidato_B,valido,valido,valido,USR-0029
BAL-0000044,MESA-077,V001001,candidato_C,valido,valido,valido,USR-0035
BAL-0000045,MESA-008,V004509,candidato_A,valido,valido,valido,USR-0028
BAL-0000046,MESA-077,V000332,marca_ambigua,invalido,invalido,invalido,USR-0035
BAL-0000047,MESA-003,V003268,candidato_A,valido,valido,valido,USR-0034
BAL-0000048,MESA-029,V001877,marca_ambigua,nulo,nulo,nulo,USR-0029
BAL-0000049,MESA-039,V002622,blanco,blanco,blanco,blanco,USR-0031
BAL-0000050,MESA-067,V003765,candidato_A,valido,valido,valido,USR-0028
BAL-0000051,MESA-036,V000922,candidato_A,valido,valido,valido,USR-0034
BAL-0000052,MESA-010,V002716,candidato_B,valido,invalido,valido,USR-0030
BAL-0000053,MESA-068,V004652,candidato_B,valido,valido,valido,USR-0032
BAL-0000054,MESA-041,V001795,candidato_A,valido,valido,valido,USR-0029
BAL-0000055,MESA-027,V002663,candidato_B,valido,valido,valido,USR-0031
BAL-0000056,MESA-058,V000876,candidato_C,valido,valido,valido,USR-0034
BAL-0000057,MESA-075,V003196,candidato_B,valido,valido,valido,USR-0032
BAL-0000058,MESA-018,V001333,candidato_A,valido,valido,valido,USR-0034
BAL-0000059,MESA-020,V001146,candidato_A,valido,valido,valido,USR-0030
BAL-0000060,MESA-060,V002864,candidato_B,valido,valido,valido,USR-0030
BAL-0000061,MESA-017,V004788,candidato_A,valido,valido,valido,USR-0035
