mesa_id,municipio,zona_id,circunscripcion,electores_habilitados,sufragantes_registrados,votos_candidato_A,votos_candidato_B,votos_candidato_C,votos_blancos,votos_nulos,votos_invalidos,total_calculado,total_reportado,participacion_pct,ganador,concentracion_ganador_pct,margen_victoria_pct
MESA-001,MUN-01,ZONA-01,CIRC-01,62,76,37,2,2,0,1,2,41,41,1.2258,candidato_A,0.9024,0.8537
MESA-002,MUN-02,ZONA-02,CIRC-02,69,48,16,18,10,2,0,3,49,49,0.6957,candidato_B,0.3673,0.0408
MESA-003,MUN-04,ZONA-04,CIRC-04,68,47,16,17,11,1,2,2,49,49,0.6912,candidato_B,0.3469,0.0204
MESA-004,MUN-04,ZONA-04,CIRC-04,54,40,8,13,13,3,0,5,42,42,0.7407,candidato_B,0.3095,0.0
MESA-005,MUN-05,ZONA-05,CIRC-05,44,32,11,11,5,1,1,5,34,34,0.7273,candidato_A,0.3235,0.0
MESA-006,MUN-01,ZONA-06,CIRC-01,57,41,14,13,9,0,2,1,39,39,0.7193,candidato_A,0.359,0.0256
MESA-007,MUN-02,ZONA-07,CIRC-02,57,42,20,14,5,1,1,4,45,45,0.7368,candidato_A,0.4444,0.1333
MESA-008,MUN-03,ZONA-08,CIRC-03,47,31,10,14,4,0,2,1,31,31,0.6596,candidato_B,0.4516,0.129
MESA-009,MUN-04,ZONA-09,CIRC-04,69,48,16,21,6,2,1,5,51,51,0.6957,candidato_B,0.4118,0.098
MESA-010,MUN-05,ZONA-10,CIRC-05,68,41,15,19,5,1,1,4,45,45,0.6029,candidato_B,0.4222,0.0889
MESA-011,MUN-01,ZONA-01,CIRC-01,56,38,15,14,7,2,0,1,39,40,0.6786,candidato_A,0.3846,0.0256
MESA-012,MUN-01,ZONA-06,CIRC-01,62,44,18,16,10,0,0,1,45,45,0.7097,candidato_A,0.4,0.0444
MESA-013,MUN-03,ZONA-03,CIRC-03,59,40,13,23,4,0,0,3,43,43,0.678,candidato_B,0.5349,0.2326
MESA-014,MUN-04,ZONA-04,CIRC-04,55,40,13,13,10,2,1,4,43,43,0.7273,candidato_A,0.3023,0.0
MESA-015,MUN-05,ZONA-05,CIRC-05,57,40,12,16,8,1,3,5,45,45,0.7018,candidato_B,0.3556,0.0889
MESA-016,MUN-01,ZONA-06,CIRC-01,63,49,20,19,7,1,0,3,50,50,0.7778,candidato_A,0.4,0.02
MESA-017,MUN-02,ZONA-07,CIRC-02,78,54,20,21,7,3,1,2,54,54,0.6923,candidato_B,0.3889,0.0185
MESA-018,MUN-03,ZONA-08,CIRC-03,72,42,15,13,7,2,11,8,44,44,0.5833,candidato_A,0.3409,0.0455
MESA-019,MUN-04,ZONA-09,CIRC-04,68,87,22,17,8,2,0,2,51,51,1.2794,candidato_A,0.4314,0.098
MESA-020,MUN-05,ZONA-10,CIRC-05,53,33,10,15,4,2,1,3,35,36,0.6226,candidato_B,0.4286,0.1429
MESA-021,MUN-01,ZONA-01,CIRC-01,61,45,16,18,7,1,11,9,47,47,0.7377,candidato_B,0.383,0.0426
MESA-022,MUN-02,ZONA-02,CIRC-02,50,40,37,2,2,3,1,2,41,41,0.8,candidato_A,0.9024,0.8537
MESA-023,MUN-03,ZONA-03,CIRC-03,64,71,23,9,5,3,1,4,45,45,1.1094,candidato_A,0.5111,0.3111
MESA-024,MUN-04,ZONA-04,CIRC-04,59,35,34,1,2,2,1,3,37,37,0.5932,candidato_A,0.9189,0.8919
MESA-025,MUN-05,ZONA-05,CIRC-05,69,49,25,14,7,0,2,5,53,53,0.7101,candidato_A,0.4717,0.2075
MESA-026,MUN-01,ZONA-01,CIRC-01,77,52,25,9,9,6,2,1,52,58,0.6753,candidato_A,0.4808,0.3077
MESA-027,MUN-02,ZONA-02,CIRC-02,55,37,17,11,6,1,1,4,40,40,0.6727,candidato_A,0.425,0.15
MESA-028,MUN-03,ZONA-03,CIRC-03,54,41,17,15,7,1,1,1,42,42,0.7593,candidato_A,0.4048,0.0476
MESA-029,MUN-04,ZONA-04,CIRC-04,62,73,21,16,4,1,1,2,45,45,1.1774,candidato_A,0.4667,0.1111
MESA-030,MUN-05,ZONA-05,CIRC-05,60,47,43,2,2,2,2,1,47,47,0.7833,candidato_A,0.9149,0.8723
MESA-031,MUN-01,ZONA-06,CIRC-01,68,81,23,19,9,2,13,11,55,55,1.1912,candidato_A,0.4182,0.0727
MESA-032,MUN-02,ZONA-07,CIRC-02,54,71,15,6,7,0,1,4,33,33,1.3148,candidato_A,0.4545,0.2424
MESA-033,MUN-03,ZONA-08,CIRC-03,69,51,17,17,10,5,2,1,52,52,0.7391,candidato_A,0.3269,0.0
MESA-034,MUN-04,ZONA-09,CIRC-04,47,38,16,11,10,0,0,4,41,41,0.8085,candidato_A,0.3902,0.122
MESA-035,MUN-05,ZONA-10,CIRC-05,56,39,15,16,6,1,0,5,43,43,0.6964,candidato_B,0.3721,0.0233
MESA-036,MUN-01,ZONA-01,CIRC-01,57,36,19,8,6,1,1,1,36,36,0.6316,candidato_A,0.5278,0.3056
MESA-037,MUN-02,ZONA-02,CIRC-02,58,43,18,16,4,2,0,4,44,44,0.7414,candidato_A,0.4091,0.0455
MESA-038,MUN-03,ZONA-03,CIRC-03,62,33,17,6,5,0,1,7,36,36,0.5323,candidato_A,0.4722,0.3056
MESA-039,MUN-01,ZONA-01,CIRC-01,57,45,18,15,6,2,2,2,45,45,0.7895,candidato_A,0.4,0.0667
MESA-040,MUN-05,ZONA-05,CIRC-05,54,35,13,14,5,1,1,4,38,38,0.6481,candidato_B,0.3684,0.0263
MESA-041,MUN-01,ZONA-06,CIRC-01,63,43,21,15,5,1,1,2,45,45,0.6825,candidato_A,0.4667,0.1333
MESA-042,MUN-02,ZONA-07,CIRC-02,64,45,18,17,4,3,1,5,48,48,0.7031,candidato_A,0.375,0.0208
MESA-043,MUN-03,ZONA-08,CIRC-03,60,47,18,16,8,4,1,5,52,52,0.7833,candidato_A,0.3462,0.0385
MESA-044,MUN-04,ZONA-09,CIRC-04,62,40,13,22,5,0,0,4,44,44,0.6452,candidato_B,0.5,0.2045
MESA-045,MUN-05,ZONA-10,CIRC-05,49,34,8,16,7,1,2,2,36,36,0.6939,candidato_B,0.4444,0.2222
MESA-046,MUN-01,ZONA-01,CIRC-01,49,35,18,13,1,0,1,2,35,35,0.7143,candidato_A,0.5143,0.1429
MESA-047,MUN-02,ZONA-02,CIRC-02,55,42,18,13,6,1,1,7,46,46,0.7636,candidato_A,0.3913,0.1087
MESA-048,MUN-03,ZONA-03,CIRC-03,64,36,15,14,3,2,1,2,37,37,0.5625,candidato_A,0.4054,0.027
MESA-049,MUN-04,ZONA-04,CIRC-04,65,48,22,14,9,2,0,2,49,49,0.7385,candidato_A,0.449,0.1633
MESA-050,MUN-05,ZONA-05,CIRC-05,52,34,15,14,3,1,8,7,35,35,0.6538,candidato_A,0.4286,0.0286
MESA-051,MUN-05,ZONA-05,CIRC-05,65,43,15,16,7,2,1,3,44,44,0.6615,candidato_B,0.3636,0.0227
MESA-052,MUN-03,ZONA-08,CIRC-03,69,50,15,26,7,0,0,6,54,54,0.7246,candidato_B,0.4815,0.2037
MESA-053,MUN-03,ZONA-03,CIRC-03,55,40,13,10,10,2,4,3,42,42,0.7273,candidato_A,0.3095,0.0714
MESA-054,MUN-04,ZONA-04,CIRC-04,71,49,18,21,6,1,1,4,51,51,0.6901,candidato_B,0.4118,0.0588
MESA-055,MUN-05,ZONA-05,CIRC-05,64,46,21,13,7,5,0,2,48,48,0.7188,candidato_A,0.4375,0.1667
MESA-056,MUN-01,ZONA-06,CIRC-01,61,41,14,12,11,1,1,3,42,46,0.6721,candidato_A,0.3333,0.0476
