evento_id,timestamp,usuario_id,rol_usuario,accion,recurso,mesa_id,zona_id,resultado_accion,ip_origen,requiere_aprobacion,aprobado_por,hash_antes,hash_despues
EVT-0000001,2026-06-03 11:36:00,USR-0036,SUPERVISOR_ESCRUTINIO,logout,sistema_electoral,MESA-056,ZONA-06,exito,10.251.96.44,0,,2e4640ae913e8c92,2e4640ae913e8c92
EVT-0000002,2026-06-03 18:53:00,USR-0043,OPERADOR_TECNICO,consultar_alertas,sistema_electoral,MESA-010,ZONA-10,exito,10.202.4.64,0,,f77be0a07c014bbd,f77be0a07c014bbd
EVT-0000003,2026-06-03 08:44:00,USR-0017,JURADO_MESA,login,sistema_electoral,MESA-073,ZONA-03,exito,10.158.130.115,0,,31a4cb47aacfd508,31a4cb47aacfd508
EVT-0000004,2026-06-03 10:22:00,USR-0010,OPERADOR_PADRON,consultar_alertas,sistema_electoral,MESA-046,ZONA-01,exito,10.87.249.148,0,,60bb512e87b465b6,60bb512e87b465b6
EVT-0000005,2026-06-03 17:07:00,USR-0048,ANALISTA_SEGURIDAD,exportar_reporte,sistema_electoral,MESA-074,ZONA-04,fallido,10.67.131.185,0,,d60e669fc84e4010,d60e669fc84e4010
EVT-0000006,2026-06-03 12:35:00,USR-0002,ADMIN_ELECTORAL,clasificar_voto,sistema_electoral,MESA-014,ZONA-04,exito,10.226.36.136,0,,5a1580003f15850d,5a1580003f15850d
EVT-0000007,2026-06-03 17:14:00,USR-0029,CLASIFICADOR_MANUAL,login,sistema_electoral,MESA-024,ZONA-04,exito,10.216.163.139,0,,62ce6ad0378da0d3,62ce6ad0378da0d3
EVT-0000008,2026-06-03 12:48:00,USR-0047,ANALISTA_SEGURIDAD,logout,sistema_electoral,MESA-046,ZONA-01,exito,10.125.120.204,0,,2e7ff87ce995fcde,2e7ff87ce995fcde
EVT-0000009,2026-06-03 15:00:00,USR-0037,SUPERVISOR_ESCRUTINIO,aprobar_correccion,sistema_electoral,MESA-079,ZONA-04,exito,10.159.218.104,1,USR-0024,5c777d8b82606b52,5c777d8b82606b52
EVT-0000010,2026-06-03 12:01:00,USR-0030,CLASIFICADOR_MANUAL,clasificar_voto,sistema_electoral,MESA-019,ZONA-09,exito,10.6.157.159,0,,e6e64be3770f0239,e6e64be3770f0239
EVT-0000011,2026-06-03 17:53:00,USR-0009,OPERADOR_PADRON,logout,sistema_electoral,MESA-008,ZONA-08,exito,10.237.104.132,0,,3d84b0bcdb5b9913,3d84b0bcdb5b9913
EVT-0000012,2026-06-03 08:07:00,USR-0048,ANALISTA_SEGURIDAD,login,sistema_electoral,MESA-006,ZONA-06,exito,10.203.65.107,0,,0c86a37d827e8548,0c86a37d827e8548
EVT-0000013,2026-06-03 15:58:00,USR-0007,OPERADOR_PADRON,login,sistema_electoral,MESA-009,ZONA-09,exito,10.221.152.201,0,,28067a5f7aea175e,28067a5f7aea175e
EVT-0000014,2026-06-03 08:18:00,USR-0050,ANALISTA_SEGURIDAD,exportar_reporte,sistema_electoral,MESA-002,ZONA-02,exito,10.108.110.38,0,,a06215da7d7786d9,a06215da7d7786d9
EVT-0000015,2026-06-03 08:07:00,USR-0036,SUPERVISOR_ESCRUTINIO,modificar_resultado,sistema_electoral,MESA-079,ZONA-04,fallido,10.24.214.82,1,USR-0009,f340e512c3ff2b3e,e2e3f8aa6bc0f6f9
EVT-0000016,2026-06-03 11:51:00,USR-0054,AUDITOR,login,sistema_electoral,MESA-006,ZONA-06,exito,10.145.217.181,0,,f0d563050914180d,f0d563050914180d
EVT-0000017,2026-06-03 08:32:00,USR-0055,AUDITOR,consultar_alertas,sistema_electoral,MESA-007,ZONA-07,exito,10.37.10.118,0,,5cf5534062c0e262,5cf5534062c0e262
