alerta_id,codigo_alerta,entidad_tipo,entidad_id,dataset_origen,severidad,descripcion
EXP-000001,PAD-01,voter_id,V003408,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000002,PAD-01,voter_id,V002230,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000003,PAD-01,voter_id,V003949,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000004,PAD-01,voter_id,V004014,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000005,PAD-01,voter_id,V004933,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000006,PAD-01,voter_id,V001721,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000007,PAD-01,voter_id,V000461,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000008,PAD-01,voter_id,V004233,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000009,PAD-01,voter_id,V002935,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000010,PAD-01,voter_id,V003453,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000011,PAD-01,voter_id,V003851,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000012,PAD-01,voter_id,V002638,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000013,PAD-01,voter_id,V000265,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000014,PAD-01,voter_id,V000802,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000015,PAD-01,voter_id,V002406,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000016,PAD-01,voter_id,V004867,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000017,PAD-01,voter_id,V004159,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000018,PAD-01,voter_id,V001016,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000019,PAD-01,voter_id,V000481,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000020,PAD-01,voter_id,V001407,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000021,PAD-01,voter_id,V000041,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000022,PAD-01,voter_id,V000745,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000023,PAD-01,voter_id,V000094,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000024,PAD-01,voter_id,V000656,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000025,PAD-01,voter_id,V003095,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000026,PAD-01,voter_id,V003426,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000027,PAD-01,voter_id,V001167,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000028,PAD-01,voter_id,V001821,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000029,PAD-01,voter_id,V000164,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000030,PAD-01,voter_id,V000224,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000031,PAD-01,voter_id,V004408,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000032,PAD-01,voter_id,V000630,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000033,PAD-01,voter_id,V003819,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000034,PAD-01,voter_id,V001640,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000035,PAD-01,voter_id,V004400,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000036,PAD-01,voter_id,V001658,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000037,PAD-01,voter_id,V004060,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000038,PAD-01,voter_id,V001947,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000039,PAD-01,voter_id,V003160,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000040,PAD-01,voter_id,V001323,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000041,PAD-01,voter_id,V004841,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000042,PAD-01,voter_id,V002740,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000043,PAD-01,voter_id,V000782,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000044,PAD-01,voter_id,V000502,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000045,PAD-01,voter_id,V003796,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000046,PAD-01,voter_id,V002630,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000047,PAD-01,voter_id,V001994,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000048,PAD-01,voter_id,V002590,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000049,PAD-01,voter_id,V002436,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000050,PAD-01,voter_id,V002382,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000051,PAD-01,voter_id,V000170,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000052,PAD-01,voter_id,V002096,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000053,PAD-01,voter_id,V004465,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000054,PAD-01,voter_id,V003715,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000055,PAD-01,voter_id,V003889,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000056,PAD-01,voter_id,V004113,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000057,PAD-01,voter_id,V002115,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000058,PAD-01,voter_id,V001650,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000059,PAD-01,voter_id,V001970,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000060,PAD-01,voter_id,V003893,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000061,PAD-01,voter_id,V000190,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000062,PAD-01,voter_id,V000482,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000063,PAD-01,voter_id,V003039,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000064,PAD-01,voter_id,V003552,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000065,PAD-01,voter_id,V004697,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000066,PAD-01,voter_id,V001464,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000067,PAD-01,voter_id,V004415,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000068,PAD-01,voter_id,V000054,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000069,PAD-01,voter_id,V003003,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000070,PAD-01,voter_id,V000720,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000071,PAD-01,voter_id,V000914,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000072,PAD-01,voter_id,V002588,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000073,PAD-01,voter_id,V000647,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000074,PAD-01,voter_id,V004510,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000075,PAD-01,voter_id,V004373,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000076,PAD-01,voter_id,V000045,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000077,PAD-01,voter_id,V002957,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000078,PAD-01,voter_id,V000123,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000079,PAD-01,voter_id,V004991,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000080,PAD-01,voter_id,V002479,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000081,PAD-01,voter_id,V004800,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000082,PAD-01,voter_id,V002591,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000083,PAD-01,voter_id,V001163,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000084,PAD-01,voter_id,V004391,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000085,PAD-01,voter_id,V000124,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000086,PAD-01,voter_id,V003530,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000087,PAD-01,voter_id,V003996,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000088,PAD-01,voter_id,V002678,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000089,PAD-01,voter_id,V003208,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000090,PAD-01,voter_id,V004010,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000091,PAD-01,voter_id,V001497,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000092,PAD-01,voter_id,V004189,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000093,PAD-01,voter_id,V001442,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000094,PAD-01,voter_id,V000060,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000095,PAD-01,voter_id,V000291,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000096,PAD-01,voter_id,V001390,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000097,PAD-01,voter_id,V004040,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000098,PAD-01,voter_id,V000784,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000099,PAD-01,voter_id,V003672,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000100,PAD-01,voter_id,V002262,01_padron_votantes.csv,critica,Persona fallecida marcada como activa en padrón.
EXP-000101,PAD-02,voter_id,V000919,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000102,PAD-02,voter_id,V004184,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000103,PAD-02,voter_id,V003730,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000104,PAD-02,voter_id,V004766,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000105,PAD-02,voter_id,V004259,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000106,PAD-02,voter_id,V004028,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000107,PAD-02,voter_id,V001459,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000108,PAD-02,voter_id,V001262,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000109,PAD-02,voter_id,V002113,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000110,PAD-02,voter_id,V001451,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000111,PAD-02,voter_id,V004809,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000112,PAD-02,voter_id,V003971,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000113,PAD-02,voter_id,V002455,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000114,PAD-02,voter_id,V001426,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000115,PAD-02,voter_id,V000890,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000116,PAD-02,voter_id,V003295,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000117,PAD-02,voter_id,V002424,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000118,PAD-02,voter_id,V003806,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000119,PAD-02,voter_id,V004585,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000120,PAD-02,voter_id,V002393,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000121,PAD-02,voter_id,V003674,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000122,PAD-02,voter_id,V000181,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000123,PAD-02,voter_id,V001017,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000124,PAD-02,voter_id,V000015,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000125,PAD-02,voter_id,V004528,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000126,PAD-02,voter_id,V004694,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000127,PAD-02,voter_id,V003662,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000128,PAD-02,voter_id,V002197,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000129,PAD-02,voter_id,V003890,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000130,PAD-02,voter_id,V000438,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000131,PAD-02,voter_id,V000648,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000132,PAD-02,voter_id,V000842,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000133,PAD-02,voter_id,V001768,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000134,PAD-02,voter_id,V002704,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000135,PAD-02,voter_id,V000909,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000136,PAD-02,voter_id,V003360,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000137,PAD-02,voter_id,V000916,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000138,PAD-02,voter_id,V001137,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000139,PAD-02,voter_id,V000520,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
EXP-000140,PAD-02,voter_id,V000344,01_padron_votantes.csv,critica,Menor de edad habilitado legalmente.
