usuario_id,nombre_usuario,rol,estado_usuario,zona_asignada,mesa_asignada,puede_modificar_padron,puede_registrar_sufragio,puede_clasificar_votos,puede_modificar_resultados,puede_aprobar_cambios,puede_ver_logs,requiere_mfa
USR-0001,amayamanuela,ADMIN_ELECTORAL,activo,ZONA-04,MESA-024,1,1,1,1,1,1,0
USR-0002,jose-ignacio32,ADMIN_ELECTORAL,activo,ZONA-05,MESA-050,1,1,1,1,1,1,1
USR-0003,bonetdominga,OPERADOR_PADRON,activo,ZONA-06,MESA-056,1,0,0,0,0,1,1
USR-0004,banton,OPERADOR_PADRON,activo,ZONA-03,MESA-048,1,0,0,0,0,1,0
USR-0005,giljoan,OPERADOR_PADRON,activo,ZONA-01,MESA-071,1,0,0,0,0,1,1
USR-0006,florlilia,OPERADOR_PADRON,activo,ZONA-10,MESA-010,1,0,0,0,0,1,0
USR-0007,cgimenez,OPERADOR_PADRON,activo,ZONA-02,MESA-022,1,0,0,0,0,1,1
USR-0008,nydia02,OPERADOR_PADRON,activo,ZONA-05,MESA-080,1,0,0,0,0,1,1
USR-0009,rnieto,OPERADOR_PADRON,activo,ZONA-03,MESA-073,1,0,0,0,0,1,1
USR-0010,ildefonsonavarro,OPERADOR_PADRON,activo,ZONA-09,MESA-009,1,0,0,0,0,1,1
USR-0011,bruricardo,JURADO_MESA,activo,ZONA-01,MESA-021,0,1,0,0,0,1,1
USR-0012,palomarrebeca,JURADO_MESA,activo,ZONA-01,MESA-046,0,1,0,0,0,1,1
USR-0013,elisabet40,JURADO_MESA,activo,ZONA-07,MESA-007,0,1,0,0,0,1,0
USR-0014,ycasanovas,JURADO_MESA,activo,ZONA-05,MESA-005,0,1,0,0,0,1,1
USR-0015,marcospaula,JURADO_MESA,activo,ZONA-04,MESA-074,0,1,0,0,0,1,1
USR-0016,crescencia31,JURADO_MESA,activo,ZONA-01,MESA-021,0,1,0,0,0,1,1
USR-0017,gonimaria-teresa,JURADO_MESA,activo,ZONA-03,MESA-028,0,1,0,0,0,1,0
USR-0018,cebrian31,JURADO_MESA,suspendido,ZONA-04,MESA-014,0,1,0,0,0,1,0
USR-0019,dlobo,JURADO_MESA,activo,ZONA-05,MESA-015,0,1,0,0,0,1,1
USR-0020,fermin55,JURADO_MESA,activo,ZONA-04,MESA-079,0,1,0,0,0,1,1
USR-0021,herminialasa,JURADO_MESA,activo,ZONA-04,MESA-024,0,1,0,0,0,1,1
USR-0022,donosobibiana,JURADO_MESA,activo,ZONA-08,MESA-018,0,1,0,0,0,1,0
USR-0023,fernandosevilla,JURADO_MESA,activo,ZONA-10,MESA-070,0,1,0,0,0,1,1
USR-0024,olerma,JURADO_MESA,activo,ZONA-01,MESA-046,0,1,0,0,0,1,1
USR-0025,isidoramorata,JURADO_MESA,activo,ZONA-01,MESA-001,0,1,0,0,0,1,1
USR-0026,grandepaca,CLASIFICADOR_MANUAL,suspendido,ZONA-06,MESA-041,0,0,1,0,0,1,0
USR-0027,molessalvador,CLASIFICADOR_MANUAL,inactivo,ZONA-04,MESA-079,0,0,1,0,0,1,0
USR-0028,blas39,CLASIFICADOR_MANUAL,activo,ZONA-10,MESA-010,0,0,1,0,0,1,0
USR-0029,iban76,CLASIFICADOR_MANUAL,activo,ZONA-06,MESA-066,0,0,1,0,0,1,1
USR-0030,qclavero,CLASIFICADOR_MANUAL,activo,ZONA-09,MESA-019,0,0,1,0,0,1,1
USR-0031,jose-manueljodar,CLASIFICADOR_MANUAL,activo,ZONA-08,MESA-058,0,0,1,0,0,1,1
USR-0032,xpujol,CLASIFICADOR_MANUAL,activo,ZONA-05,MESA-025,0,0,1,0,0,1,1
USR-0033,emilianovergara,CLASIFICADOR_MANUAL,activo,ZONA-08,MESA-008,0,0,1,0,0,1,1
USR-0034,wbou,CLASIFICADOR_MANUAL,activo,ZONA-02,MESA-052,0,0,1,0,0,1,0
USR-0035,canalsezequiel,CLASIFICADOR_MANUAL,activo,ZONA-07,MESA-017,0,0,1,0,0,1,0
USR-0036,monicaroca,SUPERVISOR_ESCRUTINIO,activo,ZONA-06,MESA-006,0,0,0,1,1,1,1
USR-0037,plazarico,SUPERVISOR_ESCRUTINIO,activo,ZONA-01,MESA-076,0,0,0,1,1,1,0
USR-0038,qangel,SUPERVISOR_ESCRUTINIO,activo,ZONA-09,MESA-059,0,0,0,1,1,1,1
USR-0039,carboisabel,SUPERVISOR_ESCRUTINIO,activo,ZONA-09,MESA-009,0,0,0,1,1,1,1
USR-0040,maria-jose51,SUPERVISOR_ESCRUTINIO,activo,ZONA-01,MESA-071,0,0,0,1,1,1,1
USR-0041,trinidad27,OPERADOR_TECNICO,inactivo,ZONA-03,MESA-048,0,0,0,0,0,1,1
USR-0042,lagoangelita,OPERADOR_TECNICO,activo,ZONA-02,MESA-002,0,0,0,0,0,1,1
USR-0043,anunciacioncamino,OPERADOR_TECNICO,activo,ZONA-02,MESA-047,0,0,0,0,0,1,1
USR-0044,prudencia89,OPERADOR_TECNICO,activo,ZONA-05,MESA-040,0,0,0,0,0,1,1
USR-0045,ezequielpereira,OPERADOR_TECNICO,inactivo,ZONA-04,MESA-079,0,0,0,0,0,1,1
USR-0046,calistaabascal,OPERADOR_TECNICO,activo,ZONA-09,MESA-009,0,0,0,0,0,1,1
USR-0047,amaya01,ANALISTA_SEGURIDAD,activo,ZONA-08,MESA-033,0,0,0,0,0,1,1
USR-0048,selena43,ANALISTA_SEGURIDAD,activo,ZONA-06,MESA-006,0,0,0,0,0,1,1
USR-0049,hernandoselena,ANALISTA_SEGURIDAD,activo,ZONA-02,MESA-012,0,0,0,0,0,1,1
USR-0050,boadalupita,ANALISTA_SEGURIDAD,activo,ZONA-05,MESA-040,0,0,0,0,0,1,1
USR-0051,wbayon,AUDITOR,activo,ZONA-07,MESA-007,0,0,0,0,0,1,1
USR-0052,eduardotalavera,AUDITOR,activo,ZONA-04,MESA-029,0,0,0,0,0,1,1
USR-0053,juan-manuelalamo,AUDITOR,inactivo,ZONA-07,MESA-067,0,0,0,0,0,1,1
USR-0054,igalan,AUDITOR,activo,ZONA-10,MESA-010,0,0,0,0,0,1,0
USR-0055,leyremesa,AUDITOR,activo,ZONA-05,MESA-075,0,0,0,0,0,1,1
USR-0056,cperea,SERVICIO_SISTEMA,activo,ZONA-01,MESA-021,0,0,0,0,0,0,1
USR-0057,pcarrillo,SERVICIO_SISTEMA,inactivo,ZONA-01,MESA-046,0,0,0,0,0,0,0
USR-0058,bernardoneira,SERVICIO_SISTEMA,activo,ZONA-01,MESA-026,0,0,0,0,0,0,0
USR-0059,graudionisia,SERVICIO_SISTEMA,activo,ZONA-03,MESA-063,0,0,0,0,0,0,1
USR-0060,adrianbelda,SERVICIO_SISTEMA,inactivo,ZONA-04,MESA-049,0,0,0,0,0,0,1
